sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
Emcore Corporation - InP Fab Alhambra project capital expenditure (SEMI WFF),Emcore Corporation - InP Fab Alhambra,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Enablence Technologies - Fremont fab project capital expenditure (SEMI WFF),Enablence Technologies - Fremont fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Endevco Corporation - MEMS project capital expenditure (SEMI WFF),Endevco Corporation - MEMS,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Ennostar Corporation - S3 project capital expenditure (SEMI WFF),Ennostar Corporation - S3,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Ennostar Corporation - N1 project capital expenditure (SEMI WFF),Ennostar Corporation - N1,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Ennostar Corporation - N7 project capital expenditure (SEMI WFF),Ennostar Corporation - N7,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Entrepix Inc. - Fab 1 project capital expenditure (SEMI WFF),Entrepix Inc. - Fab 1,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Episil Technologies Inc. - Fab 6A project capital expenditure (SEMI WFF),Episil Technologies Inc. - Fab 6A,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Everspin Technology - MRAM Fab project capital expenditure (SEMI WFF),Everspin Technology - MRAM Fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
EYEQ Lab - Busan Fab 1 project capital expenditure (SEMI WFF),EYEQ Lab - Busan Fab 1,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
First Sensor AG - Halbleiterwerk project capital expenditure (SEMI WFF),First Sensor AG - Halbleiterwerk,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
FLCT Communication Technology - Fab 2 (Production Line) project capital expenditure (SEMI WFF),FLCT Communication Technology - Fab 2 (Production Line),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Founder IC (Founder Microelectronics International (FMIC)) - Fab 1 6-inch SiC project capital expenditure (SEMI WFF),Founder IC (Founder Microelectronics International (FMIC)) - Fab 1 6-inch SiC,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
